trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.8693582353988059, 'e': 0.24733868589386818}",30,16,6.382341185692604,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.8684893116976679, 'e': 0.24486529903492948}",20,13,5.2973965342748235,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.867621256485914, 'e': 0.2424166460445802}",20,12,15.29107384809426,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.866754068895489, 'e': 0.2399924795841344}",20,8,12.765277253450988,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.865887748059205, 'e': 0.23759255478829303}",20,10,4.662443898196293,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8650222931107413, 'e': 0.23521662924041012}",30,10,-5.643847560762103,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.8641577031846428, 'e': 0.232864462948006}",20,12,-48.72576958043723,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
147,False,"{'a': 0.8632939774163194, 'e': 0.23053581831852593}",20,3,-4.1592173960825605,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.8624311149420455, 'e': 0.22823046013534068}",20,0,26.239190660138117,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.8615691148989583, 'e': 0.22594815553398728}",20,2,13.863499199245691,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.8607079764250578, 'e': 0.2236886739786474}",20,0,7.918635789138087,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.8598476986592055, 'e': 0.22145178723886091}",20,3,12.21959331616285,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.8589882807411235, 'e': 0.2192372693664723}",20,16,7.549302604884563,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.8581297218113938, 'e': 0.21704489667280757}",30,0,-28.003893928047596,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
154,False,"{'a': 0.8572720210114575, 'e': 0.2148744477060795}",25,16,16.06143726837547,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8564151774836135, 'e': 0.2127257032290187}",25,8,-35.373047109696046,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
